,Name,Year,School,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,TRB,AST,STL,BLK,TOV,PF,NBATM,NBAPTS,NBATRB,NBAAST,NBASTL,NBABLK,NBATOV,Draft Position,Position Type
238,Kyle Lowry,2007.0,Villanova,33,29.3,3.5,7.6,.466,3.3,7.1,.468,0.2,0.5,.444,3.7,4.7,.786,11.0,4.3,3.7,2.3,0.2,2.1,2.8,MEM,5.6,3.1,3.2,1.4,0.1,1.2,24,PG
239,Shannon Brown,2007.0,Michigan State,34,35.2,5.9,12.7,.467,4.1,7.9,.513,1.9,4.8,.390,3.4,4.1,.830,17.2,4.4,2.7,1.5,0.1,2.5,2.3,CLE,3.2,0.9,0.4,0.3,0.1,0.6,25,SG
240,Jordan Farmar,2007.0,UCLA,37,30.4,4.6,11.4,.410,2.9,6.2,.472,1.7,5.1,.333,2.5,3.4,.717,13.5,2.6,5.1,1.1,0.2,3.6,1.7,LAL,4.4,1.7,1.9,0.6,0.1,1.0,26,PG
241,Maurice Ager,2007.0,Michigan State,34,34.4,6.6,14.6,.457,4.2,8.1,.522,2.4,6.5,.376,3.6,4.7,.761,19.3,4.1,2.5,0.7,0.3,2.6,2.4,DAL,2.2,0.7,0.2,0.1,0.1,0.5,28,SG
242,Mardy Collins,2007.0,Temple,32,37.9,6.3,14.6,.432,5.0,10.3,.483,1.3,4.3,.307,2.8,4.7,.596,16.8,4.7,4.0,2.8,0.2,2.0,2.2,NYK,4.5,2.0,1.6,0.6,0.1,1.1,29,SF
243,James White,2007.0,Cincinnati,33,33.5,5.4,11.0,.488,3.9,7.0,.552,1.5,4.0,.374,4.1,4.8,.838,16.3,5.1,2.0,1.1,0.8,2.3,2.7,SAS,8.3,3.3,0.8,0.5,0.2,0.8,31,SG
244,Steve Novak,2007.0,Marquette,31,33.8,5.6,11.7,.477,1.7,3.4,.500,3.9,8.4,.467,2.4,2.5,.974,17.5,5.9,1.3,0.6,0.1,1.0,2.1,HOU,1.5,0.7,0.2,0.1,0.0,0.1,32,SF
245,Solomon Jones,2007.0,South Florida,29,36.4,4.8,9.9,.484,4.8,9.8,.488,0.0,0.1,.000,3.6,4.7,.778,13.2,9.8,1.3,0.9,3.1,3.5,3.4,ATL,3.3,2.3,0.2,0.2,0.7,0.4,33,PF
246,Paul Davis,2007.0,Michigan State,33,30.8,6.2,11.0,.566,6.1,10.5,.580,0.2,0.6,.316,4.8,5.6,.870,17.5,9.1,1.6,1.0,0.9,2.5,3.1,LAC,1.6,1.4,0.2,0.2,0.2,0.3,34,C
247,Craig Smith,2007.0,Boston College,36,36.3,6.8,11.8,.573,6.7,11.4,.587,0.0,0.3,.083,4.1,6.3,.643,17.6,9.4,3.0,1.2,0.8,2.5,3.0,MIN,7.4,5.1,0.6,0.6,0.2,0.9,36,PF
248,David Noel,2007.0,UNC,31,33.7,5.1,9.6,.532,3.8,6.6,.580,1.3,3.0,.424,1.5,2.3,.625,12.9,6.8,3.5,1.1,0.7,3.1,2.7,MIL,2.7,1.8,1.0,0.4,0.1,0.6,39,PF
250,James Augustine,2007.0,Illinois,33,32.7,5.3,8.5,.624,5.2,8.4,.625,0.0,0.1,.500,3.0,4.6,.651,13.6,9.1,1.8,1.4,0.7,2.0,2.5,ORL,1.0,1.5,1.0,0.0,0.0,0.0,41,PF
251,Daniel Gibson,2007.0,Texas,37,33.2,4.4,10.9,.405,1.7,3.7,.456,2.7,7.2,.380,1.9,2.6,.726,13.4,3.6,3.1,1.3,0.3,1.9,2.4,CLE,4.6,1.5,1.2,0.4,0.1,0.7,42,PG
252,Alexander Johnson,2007.0,Florida State,29,24.9,4.4,8.1,.540,4.1,7.1,.573,0.3,1.0,.310,4.1,5.9,.706,13.2,7.4,0.7,1.1,1.0,2.8,3.2,MEM,4.4,3.1,0.3,0.4,0.6,0.8,45,PF
253,Paul Millsap,2007.0,Louisiana Tech,33,34.1,7.8,13.7,.571,7.7,13.3,.578,0.2,0.4,.357,3.8,6.2,.623,19.6,13.3,1.1,1.9,2.3,2.5,3.1,UTA,6.8,5.2,0.8,0.8,0.9,1.1,47,PF
254,Leon Powe,2007.0,California,27,35.3,6.6,13.3,.496,6.5,13.0,.500,0.1,0.3,.333,7.2,10.0,.719,20.5,10.1,1.4,0.9,0.6,2.4,2.5,BOS,4.2,3.4,0.2,0.2,0.3,0.7,49,C
255,Ryan Hollins,2007.0,UCLA,33,21.5,2.5,4.1,.619,2.5,4.1,.619,0.0,0.0,,2.0,3.3,.602,7.0,4.8,0.3,0.2,0.9,1.2,2.5,CHA,2.4,1.1,0.0,0.1,0.3,0.6,50,C
256,Hassan Adams,2007.0,Arizona,31,33.3,7.5,15.8,.478,7.0,13.7,.511,0.5,2.1,.262,1.9,3.1,.611,17.5,5.0,2.9,2.6,0.5,2.2,1.9,NJN,2.9,1.3,0.2,0.3,0.1,0.4,54,SG
257,Will Blalock,2007.0,Iowa State,30,35.7,5.9,13.2,.447,4.3,9.3,.468,1.6,3.9,.398,2.0,3.0,.659,15.4,3.3,6.1,2.2,0.1,3.0,1.8,DET,1.8,1.1,1.2,0.4,0.0,0.9,60,PG
258,Greg Oden,2009.0,Ohio State,32,28.9,5.9,9.6,.616,5.9,9.6,.616,0.0,0.0,,3.8,6.1,.628,15.7,9.6,0.7,0.6,3.3,2.0,2.7,POR,8.9,7.0,0.5,0.4,1.1,1.4,1,C
259,Kevin Durant,2008.0,Texas,35,35.9,8.7,18.5,.473,6.4,12.7,.505,2.3,5.8,.404,6.0,7.3,.816,25.8,11.1,1.3,1.9,1.9,2.8,2.0,SEA,20.3,4.4,2.4,1.0,0.9,2.9,2,SG
260,Al Horford,2008.0,Florida,38,27.8,4.9,8.1,.608,4.9,8.0,.612,0.0,0.1,.000,3.4,5.3,.644,13.2,9.5,2.2,0.7,1.8,1.8,2.5,ATL,10.1,9.7,1.5,0.7,0.9,1.7,3,C
261,Mike Conley,2008.0,Ohio State,39,31.6,4.1,7.9,.518,3.6,6.2,.579,0.5,1.8,.304,2.6,3.7,.694,11.3,3.4,6.1,2.2,0.3,2.2,1.5,MEM,9.4,2.6,4.2,0.8,0.0,1.7,4,PG
262,Jeff Green,2008.0,Georgetown,37,33.3,5.3,10.3,.513,4.3,7.7,.559,1.0,2.6,.375,2.7,3.5,.775,14.3,6.4,3.2,0.8,1.2,2.6,2.5,SEA,10.5,4.7,1.5,0.6,0.6,2.0,5,SF
263,Corey Brewer,2008.0,Florida,37,28.5,4.6,9.6,.475,3.5,6.4,.544,1.1,3.2,.336,3.0,4.2,.723,13.2,4.7,2.9,1.9,0.4,2.5,1.9,MIN,5.8,3.7,1.4,1.0,0.3,1.1,7,SF
264,Brandan Wright,2008.0,UNC,37,27.4,6.2,9.5,.646,6.2,9.5,.646,0.0,0.0,,2.4,4.2,.567,14.7,6.2,1.0,1.0,1.8,1.6,1.5,GSW,4.0,2.6,0.2,0.2,0.6,0.3,8,PF
265,Joakim Noah,2008.0,Florida,40,25.9,4.3,7.1,.607,4.3,7.1,.606,0.0,0.0,1.000,3.3,5.0,.663,12.0,8.4,2.3,1.1,1.8,2.5,2.3,CHI,6.6,5.6,1.1,0.9,0.9,1.2,9,C
266,Spencer Hawes,2008.0,Washington,31,28.9,6.2,11.7,.532,6.2,11.6,.533,0.0,0.1,.333,2.4,3.2,.755,14.9,6.4,1.9,0.5,1.7,2.5,2.3,SAC,4.7,3.2,0.6,0.2,0.6,0.8,10,C
267,Acie Law,2008.0,Texas A&M,34,33.9,6.4,12.7,.500,5.2,10.3,.510,1.1,2.4,.458,4.2,5.4,.778,18.1,3.3,5.0,1.1,0.0,2.6,2.4,ATL,4.2,1.0,2.0,0.5,0.0,1.0,11,PG
268,Thaddeus Young,2008.0,Georgia Tech,31,29.6,5.7,11.9,.478,4.5,8.9,.498,1.3,3.0,.419,1.7,2.3,.743,14.4,4.9,2.0,1.3,0.4,2.2,2.0,PHI,8.2,4.2,0.8,1.0,0.1,0.9,12,PF
269,Julian Wright,2008.0,Kansas,38,27.6,5.0,9.1,.549,4.9,8.8,.562,0.1,0.3,.231,1.9,3.1,.613,12.0,7.8,2.2,1.4,1.3,2.4,2.5,NOH,3.9,2.1,0.7,0.5,0.2,0.6,13,SF
270,Al Thornton,2008.0,Florida State,35,31.2,7.0,13.1,.530,5.9,10.8,.549,1.0,2.3,.444,4.7,6.0,.790,19.7,7.2,0.7,1.5,1.1,2.5,2.7,LAC,12.7,4.5,1.2,0.6,0.5,1.6,14,PF
271,Rodney Stuckey,2008.0,Eastern Washington,29,33.3,7.8,17.3,.453,6.3,11.7,.541,1.5,5.6,.267,7.4,8.8,.846,24.6,4.7,5.5,2.4,0.3,3.4,2.3,DET,7.6,2.3,2.8,0.9,0.1,1.4,15,PG
272,Nick Young,2008.0,USC,37,33.2,6.5,12.3,.525,5.3,9.6,.549,1.2,2.7,.440,3.4,4.3,.786,17.5,4.6,1.4,0.7,0.3,2.4,2.5,WAS,7.5,1.5,0.8,0.5,0.1,1.3,16,SG
273,Sean Williams,2008.0,Boston College,15,32.2,4.2,7.7,.548,4.2,7.7,.548,0.0,0.0,,3.7,5.3,.700,12.1,6.9,1.2,1.4,5.0,2.3,3.2,NJN,5.6,4.4,0.4,0.4,1.5,1.0,17,C
274,Javaris Crittenton,2008.0,Georgia Tech,32,31.3,4.9,11.0,.450,3.8,7.8,.488,1.1,3.2,.356,3.4,4.3,.783,14.4,3.7,5.8,2.0,0.1,3.9,2.1,TOT,5.6,2.2,1.0,0.4,0.0,1.1,19,SG
275,Jason Smith,2008.0,Colorado State,30,30.2,5.8,10.1,.579,5.8,10.0,.585,0.0,0.1,.000,5.1,6.7,.770,16.8,10.1,1.9,0.5,1.6,3.4,3.1,PHI,4.5,3.0,0.3,0.3,0.7,0.6,20,PF
276,Daequan Cook,2008.0,Ohio State,39,19.7,3.6,8.1,.445,2.2,4.8,.465,1.4,3.3,.415,1.2,1.7,.697,9.8,4.3,1.0,0.7,0.3,1.4,1.7,MIA,8.8,3.0,1.3,0.4,0.2,1.1,21,SG
277,Jared Dudley,2008.0,Boston College,30,38.4,6.5,11.6,.562,5.2,8.6,.602,1.3,2.9,.443,4.7,6.4,.743,19.0,8.3,3.0,1.4,0.3,2.6,2.2,CHA,5.8,3.9,1.1,0.8,0.1,0.7,22,PF
278,Wilson Chandler,2008.0,DePaul,34,31.7,5.7,12.7,.450,4.6,9.2,.494,1.1,3.4,.333,2.1,3.1,.654,14.6,6.9,1.4,0.6,1.4,1.6,2.8,NYK,7.3,3.6,0.9,0.4,0.5,0.8,23,SF
279,Morris Almond,2008.0,Rice,32,33.4,8.2,17.0,.483,5.8,11.7,.496,2.4,5.3,.456,7.5,8.9,.846,26.4,6.6,1.2,1.2,0.8,3.4,2.1,UTA,1.4,0.2,0.3,0.1,0.0,0.2,25,SG
280,Aaron Brooks,2008.0,Oregon,35,36.8,6.1,13.2,.460,3.8,7.6,.502,2.3,5.7,.404,3.3,3.9,.846,17.7,4.3,4.3,1.4,0.2,2.5,2.5,HOU,5.2,1.1,1.7,0.3,0.1,0.9,26,PG
281,Arron Afflalo,2008.0,UCLA,36,32.9,5.8,12.7,.461,3.4,6.2,.549,2.4,6.4,.375,2.8,3.5,.802,16.9,2.8,1.9,0.6,0.2,1.8,1.8,DET,3.7,1.8,0.7,0.4,0.1,0.5,27,SG
282,Alando Tucker,2008.0,Wisconsin,36,32.8,7.1,15.1,.470,6.0,11.7,.512,1.1,3.4,.325,4.6,6.9,.659,19.9,5.4,2.0,0.9,0.3,1.7,1.3,PHO,3.7,1.3,0.0,0.0,0.2,0.0,29,SF
283,Carl Landry,2008.0,Purdue,34,30.4,6.4,10.8,.597,6.3,10.2,.618,0.1,0.6,.211,5.9,8.1,.726,18.9,7.3,1.2,1.2,0.9,3.0,2.9,HOU,8.1,4.9,0.5,0.4,0.2,0.6,31,PF
284,Gabe Pruitt,2008.0,USC,26,33.1,4.0,9.6,.416,2.2,4.3,.496,1.8,5.3,.350,2.6,3.3,.800,12.5,2.8,4.3,1.8,0.3,1.8,2.2,BOS,2.1,0.5,0.9,0.3,0.0,0.3,32,PG
285,Nick Fazekas,2008.0,Nevada,32,30.3,7.8,13.7,.568,6.9,11.6,.591,0.9,2.0,.431,4.0,4.7,.848,20.4,11.1,1.8,0.8,1.5,2.0,2.3,TOT,4.1,3.4,0.4,0.3,0.4,0.5,34,PF
286,Glen Davis,2008.0,LSU,29,35.0,6.1,12.7,.484,5.6,11.0,.505,0.6,1.7,.347,4.8,6.7,.713,17.7,10.4,2.3,1.1,1.0,2.8,2.3,BOS,4.5,3.0,0.4,0.4,0.3,0.9,35,C
287,Jermareo Davidson,2008.0,Alabama,30,32.3,5.0,12.2,.407,4.8,11.7,.414,0.1,0.5,.250,3.9,5.0,.775,14.0,8.2,1.5,0.8,2.3,1.7,1.8,CHA,3.2,1.6,0.3,0.2,0.4,0.4,36,SF
288,Josh McRoberts,2008.0,Duke,33,35.3,5.0,9.9,.502,4.8,9.2,.523,0.2,0.7,.217,2.9,4.4,.664,13.0,7.9,3.5,1.2,2.5,2.4,2.5,POR,1.5,1.3,0.3,0.1,0.0,0.3,37,PF
289,Chris Richard,2008.0,Florida,40,18.4,2.5,3.6,.690,2.5,3.6,.690,0.0,0.0,,1.3,2.1,.627,6.2,3.7,0.4,0.3,0.3,1.2,2.3,MIN,1.9,2.6,0.3,0.2,0.2,0.5,41,C
290,Derrick Byars,2012.0,Vanderbilt,34,31.4,6.1,13.3,.457,3.7,7.0,.531,2.3,6.2,.373,2.5,3.6,.711,17.0,4.9,3.4,1.4,0.1,2.4,2.4,SAS,5.0,5.5,0.5,1.0,0.0,0.0,42,PF
294,Dominic McGuire,2008.0,Fresno State,32,32.9,4.8,10.2,.471,4.2,8.1,.516,0.6,2.1,.299,3.3,5.7,.586,13.5,9.8,3.3,0.9,3.6,3.7,2.8,WAS,1.3,2.0,0.6,0.3,0.4,0.6,47,SG
295,Aaron Gray,2008.0,Pitt,36,28.2,5.7,10.0,.565,5.7,10.0,.565,0.0,0.0,,2.5,4.6,.548,13.9,9.5,1.7,0.4,1.7,1.5,2.5,CHI,4.3,2.8,0.7,0.3,0.3,0.9,49,C
296,JamesOn Curry,2010.0,Oklahoma State,35,37.0,5.8,12.8,.452,3.3,6.7,.489,2.5,6.1,.411,3.3,4.1,.793,17.3,3.2,3.7,1.2,0.3,3.1,2.1,LAC,0.0,0.0,0.0,0.0,0.0,0.0,51,PG
297,Taurean Green,2008.0,Florida,40,33.2,3.9,8.7,.444,1.8,3.6,.497,2.1,5.1,.406,3.5,4.2,.849,13.3,2.4,3.7,1.1,0.0,2.7,1.5,TOT,1.6,0.6,0.6,0.1,0.0,0.5,52,SG-PG
298,Demetris Nichols,2008.0,Syracuse,35,34.8,6.4,14.4,.447,3.6,7.5,.475,2.9,6.9,.417,3.2,3.8,.850,18.9,5.4,1.5,1.4,1.1,2.2,2.1,TOT,1.1,0.4,0.1,0.0,0.2,0.3,53,SF
300,Ramon Sessions,2008.0,Nevada,34,30.2,4.1,9.1,.452,3.6,7.6,.465,0.6,1.5,.380,3.5,4.2,.825,12.3,4.7,4.7,0.9,0.2,2.5,1.2,MIL,8.1,3.4,7.5,1.0,0.2,2.1,56,PG
302,Derrick Rose,2009.0,Memphis,40,29.2,5.2,10.9,.477,4.3,8.3,.521,0.9,2.6,.337,3.7,5.1,.712,14.9,4.5,4.7,1.2,0.4,2.7,1.7,CHI,16.8,3.9,6.3,0.8,0.2,2.5,1,PG
303,Michael Beasley,2009.0,Kansas State,33,31.5,9.3,17.5,.532,8.2,14.6,.562,1.1,2.9,.379,6.5,8.5,.774,26.2,12.4,1.2,1.3,1.6,2.9,2.6,MIA,13.9,5.4,1.0,0.5,0.5,1.5,2,PF
304,Russell Westbrook,2009.0,UCLA,39,33.8,4.7,10.0,.465,4.0,8.1,.497,0.7,2.0,.338,2.7,3.8,.713,12.7,3.9,4.3,1.6,0.2,2.5,2.4,OKC,15.3,4.9,5.3,1.3,0.2,3.3,4,PG
305,Kevin Love,2009.0,UCLA,39,29.6,5.8,10.4,.559,5.1,8.3,.611,0.7,2.1,.354,5.1,6.6,.767,17.5,10.6,1.9,0.7,1.4,2.0,1.9,MIN,11.1,9.1,1.0,0.4,0.6,1.5,5,C
306,Eric Gordon,2009.0,Indiana,32,34.7,5.8,13.3,.433,3.6,6.8,.525,2.2,6.5,.337,7.2,8.7,.834,20.9,3.3,2.4,1.3,0.6,3.6,2.2,LAC,16.1,2.6,2.8,1.0,0.4,2.1,7,SG
307,Joe Alexander,2009.0,West Virginia,36,31.6,6.1,13.2,.462,5.8,12.0,.480,0.3,1.1,.268,4.4,5.4,.814,16.9,6.4,2.4,0.7,1.5,2.2,2.9,MIL,4.7,1.9,0.7,0.3,0.5,0.9,8,SF
308,Brook Lopez,2009.0,Stanford,27,30.8,6.8,14.6,.468,6.8,14.3,.475,0.0,0.2,.000,5.7,7.2,.789,19.3,8.2,1.4,0.6,2.1,2.1,2.4,NJN,13.0,8.1,1.0,0.5,1.8,1.8,10,C
309,Jerryd Bayless,2009.0,Arizona,30,35.7,5.8,12.6,.458,3.8,7.8,.489,2.0,4.8,.407,6.2,7.4,.839,19.7,2.7,4.0,1.0,0.1,3.0,2.2,POR,4.3,1.1,1.5,0.3,0.0,1.1,11,PG
310,Jason Thompson,2009.0,Rider,34,34.6,8.1,14.4,.560,7.8,13.4,.578,0.3,1.0,.324,3.9,6.7,.581,20.4,12.1,2.7,1.1,2.7,2.9,2.9,SAC,11.1,7.4,1.1,0.6,0.7,1.8,12,PF
311,Brandon Rush,2009.0,Kansas,38,29.7,4.7,10.9,.435,2.6,5.9,.448,2.1,5.0,.419,1.8,2.3,.779,13.3,5.1,2.1,0.8,0.8,1.8,1.6,IND,8.1,3.1,0.9,0.5,0.5,1.0,13,SG
312,Anthony Randolph,2009.0,LSU,31,32.8,5.9,12.7,.464,5.8,12.1,.483,0.1,0.6,.105,3.7,5.4,.693,15.6,8.5,1.2,1.1,2.3,3.0,2.7,GSW,7.9,5.8,0.8,0.7,1.2,1.3,14,PF
313,Robin Lopez,2009.0,Stanford,36,24.5,3.9,7.3,.534,3.9,7.3,.533,0.0,0.0,1.000,2.4,3.7,.652,10.2,5.7,0.6,0.5,2.3,1.8,2.6,PHO,3.2,2.0,0.1,0.2,0.7,0.5,15,C
314,Marreese Speights,2009.0,Florida,36,24.3,6.0,9.6,.624,6.0,9.6,.624,0.0,0.0,,2.5,3.6,.692,14.5,8.1,0.9,0.4,1.4,1.7,2.3,PHI,7.7,3.7,0.4,0.3,0.7,0.6,16,C
315,Roy Hibbert,2009.0,Georgetown,34,26.3,5.3,8.6,.609,5.2,8.6,.605,0.1,0.1,1.000,2.7,4.2,.646,13.4,6.4,1.9,0.5,2.2,1.7,2.7,IND,7.1,3.5,0.7,0.3,1.1,0.8,17,C
316,JaVale McGee,2009.0,Nevada,33,27.3,5.7,10.8,.529,5.3,9.5,.556,0.4,1.3,.333,2.2,4.3,.525,14.1,7.3,0.6,0.8,2.8,2.4,2.5,WAS,6.5,3.9,0.3,0.4,1.0,0.8,18,C
317,Ryan Anderson,2009.0,California,33,32.8,7.0,14.2,.490,5.0,9.5,.530,1.9,4.7,.410,5.2,6.0,.869,21.1,9.9,1.4,0.4,0.5,2.2,2.2,NJN,7.4,4.7,0.8,0.7,0.3,1.0,21,PF
318,Courtney Lee,2009.0,Western Kentucky,36,30.0,7.2,15.1,.477,5.3,10.3,.515,1.9,4.8,.397,4.1,5.0,.822,20.4,4.9,2.1,1.8,0.8,2.3,2.4,ORL,8.4,2.3,1.2,1.0,0.2,0.9,22,SG
319,Kosta Koufos,2009.0,Ohio State,37,27.1,6.0,11.8,.508,5.4,10.1,.535,0.6,1.7,.349,1.8,2.7,.680,14.4,6.7,0.5,0.4,1.8,1.5,2.2,UTA,4.7,2.9,0.4,0.3,0.6,0.5,23,C
320,George Hill,2009.0,IUPUI,32,36.8,6.9,12.6,.545,5.3,9.2,.580,1.5,3.4,.450,6.2,7.7,.812,21.5,6.8,4.3,1.8,0.4,2.9,2.8,SAS,5.7,2.1,1.8,0.6,0.3,1.0,26,PG
321,Darrell Arthur,2009.0,Kansas,40,24.7,5.4,9.9,.543,5.3,9.6,.555,0.1,0.3,.167,2.0,2.9,.702,12.8,6.3,0.8,0.5,1.3,1.9,3.0,MEM,5.6,4.6,0.6,0.7,0.7,0.6,27,PF
322,Walter Sharpe,2009.0,Alabama-Birmingham,12,24.9,5.7,10.8,.523,5.7,10.6,.535,0.0,0.3,.000,2.8,5.4,.523,14.2,6.8,1.7,1.2,1.8,2.8,3.0,DET,1.0,0.4,0.0,0.0,0.3,0.0,32,PF
323,Joey Dorsey,2009.0,Memphis,38,25.2,2.8,4.4,.647,2.8,4.4,.647,0.0,0.0,,1.2,3.1,.378,6.9,9.5,0.5,1.1,1.9,1.1,2.8,HOU,0.7,0.3,0.3,0.0,0.0,0.0,33,PF
324,Mario Chalmers,2009.0,Kansas,39,30.0,4.2,8.2,.516,2.3,4.2,.562,1.9,4.0,.468,2.5,3.3,.746,12.8,3.1,4.3,2.5,0.6,1.9,2.5,MIA,10.0,2.8,4.9,2.0,0.1,2.0,34,PG
325,DeAndre Jordan,2009.0,Texas A&M,35,20.1,3.2,5.2,.617,3.2,5.2,.617,0.0,0.0,,1.5,3.4,.437,7.9,6.0,0.4,0.2,1.3,1.6,1.9,LAC,4.3,4.5,0.2,0.2,1.1,0.8,35,C
326,Kyle Weaver,2009.0,Washington State,35,33.1,3.9,8.5,.463,3.3,6.6,.491,0.7,1.9,.364,3.6,4.9,.733,12.2,5.3,4.3,1.7,0.7,2.8,1.9,OKC,5.3,2.3,1.8,0.8,0.4,1.2,38,SG
327,Sonny Weems,2009.0,Arkansas,34,31.4,5.8,12.5,.464,4.2,8.2,.513,1.6,4.3,.370,1.8,2.2,.803,15.0,4.5,2.6,1.3,0.2,2.8,2.2,DEN,1.6,0.3,0.3,0.1,0.0,0.5,39,SG
328,Chris Douglas-Roberts,2009.0,Memphis,40,28.7,6.5,12.0,.541,5.4,9.3,.578,1.1,2.7,.413,4.0,5.7,.712,18.1,4.1,1.8,1.2,0.5,2.1,1.7,NJN,4.9,1.1,1.2,0.3,0.2,0.7,40,SG
329,Sean Singletary,2009.0,Virginia,33,34.0,6.2,14.4,.426,4.4,9.6,.456,1.8,4.8,.367,5.7,6.7,.851,19.8,3.8,6.1,1.8,0.0,3.9,2.7,TOT,2.4,0.9,0.8,0.3,0.0,0.6,42,PG
331,Malik Hairston,2009.0,Oregon,31,31.5,5.7,10.8,.525,4.0,6.9,.577,1.7,3.9,.433,3.3,4.5,.732,16.3,4.8,2.1,0.6,0.8,1.8,2.9,SAS,3.3,1.9,0.9,0.4,0.5,0.8,48,SG
335,Darnell Jackson,2009.0,Kansas,40,24.3,4.3,6.8,.626,4.2,6.7,.633,0.1,0.2,.333,2.6,3.7,.691,11.2,6.7,1.1,0.8,0.5,1.3,2.3,CLE,1.9,1.7,0.2,0.2,0.1,0.3,52,PF
337,Sasha Kaun,2016.0,Kansas,40,17.7,2.7,4.4,.619,2.7,4.4,.619,0.0,0.0,,1.7,3.1,.541,7.1,3.9,0.3,0.4,1.2,0.8,2.4,CLE,0.9,1.0,0.1,0.2,0.2,0.3,56,C
339,Joe Crawford,2009.0,Kentucky,30,33.6,6.3,13.4,.469,4.2,7.6,.548,2.1,5.8,.364,3.3,4.3,.762,17.9,3.6,2.1,0.6,0.2,2.8,2.7,NYK,4.5,2.0,0.5,0.5,0.0,0.0,58,SF
341,Blake Griffin,2011.0,Oklahoma,35,33.3,8.6,13.1,.654,8.5,12.9,.659,0.1,0.2,.375,5.5,9.3,.590,22.7,14.4,2.3,1.1,1.2,3.3,2.5,LAC,22.5,12.1,3.8,0.8,0.5,2.7,1,PF
342,Hasheem Thabeet,2010.0,UConn,36,31.8,4.9,7.7,.640,4.9,7.7,.640,0.0,0.0,,3.7,5.9,.627,13.6,10.8,0.5,0.6,4.2,1.9,2.5,MEM,3.1,3.6,0.2,0.2,1.3,0.6,2,C
343,James Harden,2010.0,Arizona State,35,35.8,6.3,12.9,.489,4.7,8.3,.564,1.7,4.7,.356,5.8,7.7,.756,20.1,5.6,4.2,1.7,0.3,3.4,2.8,OKC,9.9,3.2,1.8,1.1,0.3,1.4,3,SG
344,Tyreke Evans,2010.0,Memphis,37,29.0,6.2,13.6,.455,5.3,10.3,.514,0.9,3.4,.274,3.7,5.2,.711,17.1,5.4,3.9,2.1,0.8,3.6,2.4,SAC,20.1,5.3,5.8,1.5,0.4,3.0,4,SG
345,Jonny Flynn,2010.0,Syracuse,38,37.3,5.8,12.5,.460,4.6,8.8,.521,1.2,3.7,.317,4.7,6.0,.786,17.4,2.7,6.7,1.4,0.2,3.4,1.4,MIN,13.5,2.4,4.4,1.0,0.0,2.9,6,PG
346,Stephen Curry,2010.0,Davidson,34,33.7,9.2,20.2,.454,5.4,10.3,.519,3.8,9.9,.387,6.5,7.4,.876,28.6,4.4,5.6,2.5,0.2,3.7,2.4,GSW,17.5,4.5,5.9,1.9,0.2,3.0,7,PG
347,Jordan Hill,2010.0,Arizona,34,35.7,7.4,13.8,.537,7.4,13.8,.537,0.0,0.0,,3.4,5.3,.654,18.3,11.0,1.5,0.9,1.7,2.9,3.0,TOT,5.2,3.7,0.4,0.3,0.4,0.6,8,PF
348,DeMar DeRozan,2010.0,USC,35,33.4,5.5,10.5,.523,5.3,9.5,.562,0.2,1.0,.167,2.7,4.2,.646,13.9,5.7,1.5,0.9,0.4,2.1,2.1,TOR,8.6,2.9,0.7,0.6,0.2,0.8,9,SG
349,Terrence Williams,2010.0,Louisville,37,34.2,4.6,10.6,.431,3.0,6.6,.459,1.5,4.0,.385,1.8,3.2,.581,12.5,8.6,5.0,2.3,0.8,2.3,1.7,NJN,8.4,4.5,2.9,0.6,0.1,1.6,11,SF
350,Tyler Hansbrough,2010.0,UNC,34,30.3,6.6,12.8,.514,6.3,12.1,.521,0.3,0.7,.391,7.3,8.7,.841,20.7,8.1,1.0,1.2,0.4,1.9,2.3,IND,8.5,4.8,1.0,0.6,0.3,0.7,13,PF
351,Earl Clark,2010.0,Louisville,37,34.3,5.5,11.9,.457,4.6,9.4,.493,0.8,2.6,.326,2.4,3.8,.647,14.2,8.7,3.2,1.0,1.4,3.2,1.9,PHO,2.7,1.2,0.4,0.1,0.3,0.5,14,PF
352,Austin Daye,2010.0,Gonzaga,34,26.3,4.7,9.8,.477,3.6,7.3,.494,1.1,2.5,.429,2.3,3.2,.706,12.7,6.8,1.1,0.7,2.1,2.1,2.9,DET,5.1,2.5,0.5,0.4,0.4,0.7,15,SF
353,James Johnson,2010.0,Quinnipiac,31,32.5,3.4,9.5,.359,2.6,7.0,.373,0.8,2.5,.321,2.2,2.7,.798,9.8,3.7,4.1,1.5,0.1,2.8,2.6,CHI,3.9,2.0,0.7,0.3,0.7,1.0,16,PF
354,Jrue Holiday,2010.0,UCLA,35,27.1,3.2,7.1,.450,2.4,4.6,.528,0.8,2.5,.307,1.3,1.8,.726,8.5,3.8,3.7,1.6,0.5,2.1,2.1,PHI,8.0,2.6,3.8,1.1,0.2,2.1,17,PG
355,Ty Lawson,2010.0,UNC,35,29.9,5.2,9.8,.532,3.7,6.7,.560,1.5,3.1,.472,4.7,5.9,.798,16.6,3.0,6.6,2.1,0.1,1.9,1.7,DEN,8.3,1.9,3.1,0.7,0.0,1.3,18,PG
